h=8 n_patches=345373317 fillins=205134537 pixels=16577919216
h=16 n_patches=272563440 fillins=132324660 pixels=26166090240
h=24 n_patches=204220500 fillins=63981720 pixels=29407752000
h=32 n_patches=187989341 fillins=47750561 pixels=36093953472
h=40 n_patches=168332128 fillins=28093348 pixels=40399710720
h=48 n_patches=161760965 fillins=21522185 pixels=46587157920
h=56 n_patches=154304598 fillins=14065818 pixels=51846344928
h=64 n_patches=150700090 fillins=10461310 pixels=57868834560
h=72 n_patches=147193075 fillins=6954295 pixels=63587408400
h=80 n_patches=146097067 fillins=5858287 pixels=70126592160
h=88 n_patches=144063607 fillins=3824827 pixels=76065584496
h=96 n_patches=143989663 fillins=3750883 pixels=82938045888
h=104 n_patches=142530875 fillins=2292095 pixels=88939266000
h=112 n_patches=142501654 fillins=2262874 pixels=95761111488
h=120 n_patches=141482427 fillins=1243647 pixels=101867347440
h=128 n_patches=141205944 fillins=967164 pixels=108446164992
winner_h=8 n_var=862 n_windows=1122 n_series=967164
