epoch,train_unit_mse,val_unit_mse
1.000000000000000000e+00,2.812138568602093672e-02,4.837813186976644420e-02
2.000000000000000000e+00,1.590363125175332099e-02,3.386612546940644813e-02
3.000000000000000000e+00,1.326181066275538938e-02,4.068455289773367095e-02
4.000000000000000000e+00,1.171158598873465670e-02,5.361855058344425912e-02
5.000000000000000000e+00,1.077992200089092009e-02,5.685150395664903544e-02
6.000000000000000000e+00,1.026246659329970584e-02,5.948085064689318663e-02
7.000000000000000000e+00,9.430147226573702343e-03,7.634900332325034178e-02
8.000000000000000000e+00,9.006595750877689072e-03,6.500440017768630008e-02
9.000000000000000000e+00,9.555603999385162486e-03,6.704357120173948248e-02
1.000000000000000000e+01,8.959737479616003766e-03,7.308864089901800920e-02
1.100000000000000000e+01,8.365961037308983911e-03,6.566714701001290233e-02
1.200000000000000000e+01,7.987494137381765183e-03,7.897314735584788636e-02
1.300000000000000000e+01,7.543858830357277369e-03,7.377632556966057242e-02
1.400000000000000000e+01,7.430133390641193228e-03,7.475086363653342392e-02
1.500000000000000000e+01,7.218531533321247660e-03,7.927158966108605043e-02
1.600000000000000000e+01,6.994923896977544436e-03,7.101474816876429674e-02
1.700000000000000000e+01,6.811876342639735724e-03,7.493315213532358854e-02
1.800000000000000000e+01,6.428725527744850142e-03,6.992648482598640136e-02
1.900000000000000000e+01,6.337509943930754591e-03,7.424748059776094256e-02
2.000000000000000000e+01,6.439351601985907579e-03,8.065293825886866996e-02
2.100000000000000000e+01,5.868155943948917194e-03,7.314323475239453698e-02
2.200000000000000000e+01,6.129760542719424679e-03,7.607917933276406308e-02
2.300000000000000000e+01,5.725145806609515352e-03,7.468918308063789147e-02
2.400000000000000000e+01,5.612602710374140109e-03,7.048366102907392683e-02
2.500000000000000000e+01,5.401890298778010482e-03,7.501046998357331630e-02
2.600000000000000000e+01,5.366178309026209230e-03,6.749897301197052557e-02
2.700000000000000000e+01,5.434808571319948121e-03,7.006445448431704304e-02
2.800000000000000000e+01,5.251208767255587453e-03,7.190624211949331324e-02
2.900000000000000000e+01,5.008526464466414238e-03,7.397179312452122069e-02
3.000000000000000000e+01,5.025003386125015750e-03,8.110277859701051084e-02
